"scenario","lambda","cv_mse_mean","cv_mse_sd","true_fdr_mean","true_fdr_sd","est_fdr_mean","est_fdr_sd"
"independent",0.00351581213781297,1.59051749627892,0.12968501444032,0.891374003797299,0.00259931308189249,0.88925193993593,0.0308693415889916
"independent",0.00322144690336038,1.60150872300529,0.13062283503217,0.89215748236993,0.00233109861199244,0.890858399671417,0.0304455050686605
"independent",0.00295172772161419,1.61199769613528,0.131483744367482,0.892818343920259,0.00226743466322259,0.89222215265627,0.030066032569942
"independent",0.00270459107473018,1.62195787886875,0.132322476078581,0.893424378090901,0.00223868085398758,0.893478106808702,0.0297666037277375
"independent",0.00247814621516309,1.63137463692945,0.133107570140589,0.893966035789279,0.00224588619052891,0.894631706281758,0.0292602157218198
"independent",0.00227066070028343,1.64025045303064,0.133843434233554,0.894594594037002,0.00216100443983975,0.8959155153116,0.0290928012598892
"independent",0.00208054713812451,1.64859191059094,0.134533793460552,0.895079977935955,0.00187579386372375,0.896888258613607,0.0289939478829325
"independent",0.00190635104285627,1.65641063793128,0.135174202397076,0.8955100251953,0.00178706392122309,0.897760223260179,0.0289454263428144
"independent",0.00174673970707301,1.66373555622882,0.135767731439975,0.895914600325025,0.00170733026424172,0.898547445317611,0.0291075780655474
"independent",0.00160049200576095,1.67056925110333,0.136315583229645,0.896221537267145,0.0015507554978802,0.899157818513508,0.0291165780273842
"correlated",1.60049200576095,10.1520295240664,0.623468729839669,0,0,0,0
"correlated",1.46648905393987,8.73768091216698,0.540302476399256,0,0,0,0
"correlated",1.34370564650397,7.52996258532918,0.470721103920545,0,0,0,0
"correlated",1.23120241477144,6.50224756978061,0.406602615009735,0,0,0,0
"correlated",1.12811863973555,5.63163515083941,0.346098573702264,0,0,0,0
"correlated",1.03366566703415,4.89707598687574,0.292195888518796,0,0,0,0
"correlated",0.947120873258172,4.27804505173532,0.245074261465934,0,0,0,0
"correlated",0.867822137437488,3.75757738283519,0.205646713805237,0,0,0,0
"correlated",0.795162775407741,3.32066014003106,0.17312572674022,0,0,0,0
"correlated",0.728586898302864,2.95357207187675,0.146767325612236,0,0,0,0
"correlated",0.66758515966292,2.64581470158911,0.125234861176494,0,0,0,0
"correlated",0.611690858620008,2.38734803323206,0.108072139883457,0,0,0,0
"correlated",0.560476369349204,2.17024987344992,0.09463097519376,0,0,0,0
"correlated",0.513549869467659,1.98796307966469,0.084282867102181,0,0,0,0
"correlated",0.470552342352066,1.83480905933048,0.0765832808865998,0,0,0,0
"correlated",0.431154830440396,1.70611306044497,0.0708865368202064,0,0,0,0
"correlated",0.395055918503962,1.59797059687535,0.066790574794139,0,0,0,0
"correlated",0.3619794276353,1.50709276866023,0.064050534589552,0,0,0,0
"correlated",0.33167230230944,1.43071936198367,0.0622473384782269,0,0,0,0
"correlated",0.303902674353299,1.36655955858906,0.0611430550908129,0,0,0,0
"correlated",0.278458089011369,1.31266181481971,0.0605163477947411,0,0,0,0
"correlated",0.25514387953599,1.26743922757569,0.0602150312382109,0.000952380952380952,0.00673435029701474,0.00105820105820106,0.00748261144112749
"correlated",0.233781677866854,1.22947026181095,0.0600990697693174,0.0019047619047619,0.00942612684391226,0.00211640211640212,0.0104734742710136
"correlated",0.214208050005496,1.19758941571835,0.0601087614620976,0.0019047619047619,0.00942612684391226,0.00211640211640212,0.0104734742710136
"correlated",0.196273245644555,1.17082752219181,0.0601958240572381,0.00285714285714286,0.0114237113086712,0.00317460317460317,0.0126930125651902
"correlated",0.179840052485699,1.14838581494363,0.0603070032612512,0.00476190476190476,0.0144307506364602,0.00529100529100529,0.0160341673738446
"correlated",0.164782746481047,1.12957376459943,0.0605006670939408,0.00952380952380952,0.0192410008486135,0.00952380952380952,0.0205337531477039
"correlated",0.150986129966773,1.11384339565664,0.0607395580842655,0.0112554112554113,0.0240472753187676,0.0104377104377104,0.0234315444830194
"correlated",0.138344650330035,1.10076676682238,0.0609693443653626,0.0167099567099567,0.030473063031751,0.0154882154882155,0.0297310106479887
"correlated",0.126761592466485,1.08996156960253,0.0612269375425205,0.0224242424242424,0.03127430104296,0.0207792207792208,0.0312055480902404
"correlated",0.116148338850154,1.0813165209969,0.0615358496475901,0.0364408055712404,0.0433994090692201,0.0293504402200054,0.0413046485746347
"correlated",0.106423691554815,1.07442559879309,0.0620756934625674,0.0604614226353357,0.0537555235164003,0.0476886237755803,0.0494796884045633
"correlated",0.0975132510398305,1.06896384620248,0.0627501113842823,0.0863346444216009,0.0627969056166142,0.0658151789166282,0.0636089471939944
"correlated",0.089348846947856,1.06477721029355,0.0632860121077321,0.135358708923926,0.068890731794932,0.100524220635332,0.0694178378910452
"correlated",0.0818680165596217,1.06183448394422,0.063791465152948,0.189269644564997,0.0756139772453132,0.131862888131421,0.083234338904778
"correlated",0.0750135269156635,1.06004364214966,0.0642060735772262,0.238147634599731,0.077926042402904,0.173558986124633,0.089748644934081
"correlated",0.0687329369489366,1.05922578803304,0.0646369746010268,0.297813596238783,0.0695583632006113,0.224448211311351,0.0860879821880223
"correlated",0.0629781962783572,1.05940072705182,0.0650187731636675,0.350347168487815,0.0683959976975529,0.271224018628689,0.082046722922642
"correlated",0.0577052775937964,1.06052631772494,0.0653807282886579,0.394550141355374,0.0624188116345479,0.308806178841921,0.0806855714335938
"correlated",0.0528738398200432,1.06251789776406,0.0656874572863865,0.438365754310228,0.0559470961402701,0.345415857071412,0.0807600363456525
"correlated",0.048446919482736,1.06512280567803,0.0658824377535951,0.481079834011978,0.0535844859582765,0.376313103930668,0.0817169784555737
"correlated",0.04439064791502,1.06835274809012,0.0659832363370723,0.521807435842977,0.0508891496058546,0.416416727702889,0.0746451620648468
"correlated",0.0406739921413883,1.07232983173193,0.066217210224996,0.560203028654642,0.0438475725983573,0.455262090647493,0.0651729056782864
"correlated",0.0372685174563073,1.07701726429359,0.0667609899232135,0.593212540257181,0.036847700851731,0.487013747531781,0.0640968908605716
"correlated",0.0341481698812089,1.08242080084856,0.0673383845757298,0.625560665550262,0.0304035650519115,0.51515976481534,0.0597392868247558
"correlated",0.0312890768355088,1.0883470056567,0.0681242382967602,0.650352678795226,0.0265191642853521,0.538544400437856,0.0607872460335401
"correlated",0.0286693644966638,1.09482649012276,0.068963055928623,0.673062578954885,0.024991456597436,0.559708292723045,0.0623774946771889
"correlated",0.0262689904519582,1.10195648011049,0.0699782209788466,0.698773498041455,0.0206769876590893,0.584727751484668,0.0576105578253705
"correlated",0.0240695903617038,1.10992506704785,0.0711115724498651,0.718524723250745,0.0168681717754557,0.606965057167304,0.051669963459466
"correlated",0.0220543374607316,1.11848129719563,0.0723214224400043,0.736301699311838,0.0181137451702498,0.625562747669135,0.0515907636290857
"correlated",0.020207813823276,1.12778873164903,0.0736170863852976,0.75125844863451,0.016471610018278,0.64357959610574,0.0507281294367877
"correlated",0.0185158924063475,1.13787206090407,0.07485012878014,0.766025682056312,0.0141674872604085,0.66278098418152,0.048785119844498
"correlated",0.0169656289691538,1.1483308698015,0.0762867597812941,0.778944682307864,0.012450359415345,0.680224869532769,0.0505168053676011
"correlated",0.0155451630416861,1.15932757979463,0.0777660404269412,0.791095103627684,0.0106732911561381,0.699114081425598,0.0503386982785662
"correlated",0.0142436271848197,1.1712749436027,0.078981997487362,0.802092429683225,0.00990768359240227,0.715629204713197,0.0471375764300686
"correlated",0.0130510638477118,1.18351824277563,0.080184761297039,0.811439403686636,0.00899167116651733,0.730365323105109,0.0462378943091039
"correlated",0.0119583491864054,1.19679413440081,0.0813755922200349,0.820762965412632,0.00720375492423625,0.746021133493854,0.0428311121341632
"correlated",0.0109571232608041,1.21075051553137,0.0825429209905097,0.829323685697631,0.00678151839840983,0.761490628781689,0.0405339676759228
"correlated",0.0100397260759821,1.22498172498084,0.0837586106347024,0.836927467384721,0.00546857158032009,0.776291195820657,0.0387642479757146
