"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"cvc_pmax",0.05,"model1",1,40,46,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,46,NA,2,5,1,7,1
"cv",NA,"model1",1,40,47,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,47,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,47,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,47,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,47,NA,2,5,1,8,1
"cv",NA,"model1",1,40,48,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,48,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,48,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,48,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,48,NA,2,5,1,4,1
"cv",NA,"model1",1,40,49,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,49,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,49,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,49,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,49,NA,2,5,1,5,1
"cv",NA,"model1",1,40,50,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,50,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,50,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,50,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,50,NA,2,5,1,6,1
"cv",NA,"model1",1,40,51,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,51,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,51,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,51,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,51,NA,2,5,1,8,1
"cv",NA,"model1",1,40,52,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,52,6,3,5,0,NA,NA
"fy",0.05,"model1",1,40,52,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,52,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,52,NA,2,5,1,6,1
"cv",NA,"model1",1,40,53,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,53,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,53,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,53,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,53,NA,2,5,1,8,1
"cv",NA,"model1",1,40,54,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,54,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,54,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,54,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,54,NA,2,5,1,4,1
"cv",NA,"model1",1,40,55,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,55,6,3,5,0,NA,NA
"fy",0.05,"model1",1,40,55,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,55,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,55,NA,2,5,1,4,1
"cv",NA,"model1",1,40,56,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,56,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,56,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,56,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,56,NA,2,5,1,6,1
"cv",NA,"model1",1,40,57,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,57,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,57,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,57,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,57,NA,2,5,1,7,1
"cv",NA,"model1",1,40,58,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,58,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,58,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,58,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,58,NA,2,5,1,5,1
"cv",NA,"model1",1,40,59,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,59,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,59,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,59,5,2,5,1,3,1
"cvc_frac",0.05,"model1",1,40,59,NA,2,5,1,3,1
"cv",NA,"model1",1,40,60,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,60,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,60,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,60,5,2,5,1,3,1
"cvc_frac",0.05,"model1",1,40,60,NA,2,5,1,3,1
"cv",NA,"model1",1,40,61,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,61,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,61,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,61,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,61,NA,2,5,1,8,1
"cv",NA,"model1",1,40,62,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,62,6,3,5,0,NA,NA
"fy",0.05,"model1",1,40,62,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,62,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,62,NA,2,5,1,7,1
"cv",NA,"model1",1,40,63,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,63,6,3,5,0,NA,NA
"fy",0.05,"model1",1,40,63,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,40,63,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,63,NA,2,5,1,8,1
"cv",NA,"model1",1,40,64,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,64,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,64,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,64,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,64,NA,2,5,1,6,1
"cv",NA,"model1",1,40,65,7,3,5,0,NA,NA
"bic",NA,"model1",1,40,65,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,65,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,65,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,65,NA,2,5,1,8,1
"cv",NA,"model1",1,40,66,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,66,13,3,5,0,NA,NA
"fy",0.05,"model1",1,40,66,5,2,5,1,5,NA
"cvc_pmax",0.05,"model1",1,40,66,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,66,NA,2,5,1,8,1
"cv",NA,"model1",1,40,67,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,67,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,67,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,67,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,67,NA,2,5,1,8,1
"cv",NA,"model1",1,40,68,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,68,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,68,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,68,5,2,5,1,3,1
"cvc_frac",0.05,"model1",1,40,68,NA,2,5,1,3,1
"cv",NA,"model1",1,40,69,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,69,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,69,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,69,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,69,NA,2,5,1,6,1
"cv",NA,"model1",1,40,70,7,3,5,0,NA,NA
"bic",NA,"model1",1,40,70,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,70,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,70,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,70,NA,2,5,1,8,1
"cv",NA,"model1",1,40,71,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,71,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,71,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,71,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,71,NA,2,5,1,6,1
"cv",NA,"model1",1,40,72,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,72,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,72,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,72,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,72,NA,2,5,1,7,1
"cv",NA,"model1",1,40,73,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,73,7,3,5,0,NA,NA
"fy",0.05,"model1",1,40,73,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,73,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,73,NA,2,5,1,7,1
"cv",NA,"model1",1,40,74,14,4,5,0,NA,NA
"bic",NA,"model1",1,40,74,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,74,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,74,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,74,NA,2,5,1,8,1
"cv",NA,"model1",1,40,75,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,75,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,75,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,75,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,75,NA,2,5,1,4,1
"cv",NA,"model1",1,40,76,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,76,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,76,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,76,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,76,NA,2,5,1,8,1
"cv",NA,"model1",1,40,77,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,77,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,77,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,77,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,77,NA,2,5,1,8,1
"cv",NA,"model1",1,40,78,7,3,5,0,NA,NA
"bic",NA,"model1",1,40,78,7,3,5,0,NA,NA
"fy",0.05,"model1",1,40,78,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,78,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,78,NA,2,5,1,8,1
"cv",NA,"model1",1,40,79,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,79,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,79,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,79,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,79,NA,2,5,1,8,1
"cv",NA,"model1",1,40,80,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,80,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,80,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,80,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,80,NA,2,5,1,5,1
"cv",NA,"model1",1,40,81,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,81,6,3,5,0,NA,NA
"fy",0.05,"model1",1,40,81,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,40,81,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,81,NA,2,5,1,7,1
"cv",NA,"model1",1,40,82,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,82,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,82,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,82,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,82,NA,2,5,1,5,1
"cv",NA,"model1",1,40,83,7,3,5,0,NA,NA
"bic",NA,"model1",1,40,83,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,83,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,83,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,83,NA,2,5,1,8,1
"cv",NA,"model1",1,40,84,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,84,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,84,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,84,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,84,NA,2,5,1,6,1
"cv",NA,"model1",1,40,85,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,85,5,2,5,1,NA,NA
