"scenario","lambda","cv_mse_mean","cv_mse_sd","true_fdr_mean","true_fdr_sd","est_fdr_mean","est_fdr_sd"
"correlated",0.116148338850154,1.09309607767846,0.0615882167513347,0.040703557312253,0.0441722929197743,0.0279987138465399,0.0384959983364467
"correlated",0.106423691554815,1.08595970780957,0.0618047810342182,0.0619051166225079,0.052689793741154,0.044477732412515,0.0479566699112517
"correlated",0.0975132510398305,1.08035645030873,0.0621506888841338,0.0915188273883926,0.0602623897366652,0.0651652398862544,0.0578147395734001
"correlated",0.089348846947856,1.07612973596919,0.0624893237026231,0.133064181085171,0.0715206518805577,0.0963900307912052,0.067189488505904
"correlated",0.0818680165596217,1.07309606951741,0.0628333830289744,0.18279272843124,0.0778402188445205,0.130250488546406,0.076641555828563
"correlated",0.0750135269156635,1.07118334594782,0.0631991793739761,0.231663023162419,0.0785145747241464,0.169525484946193,0.0809050354034939
"correlated",0.0687329369489366,1.07025224890344,0.0635792490512751,0.287927146483852,0.0756645154649464,0.214128300754711,0.08394508463536
"correlated",0.0629781962783572,1.0703326617125,0.0639743876260403,0.34246581506062,0.0708370784036541,0.26047906478143,0.0810588397622646
"correlated",0.0577052775937964,1.0713796417086,0.06436340412045,0.394018585776728,0.0637236861086915,0.303471888097007,0.0790945245191669
"correlated",0.0528738398200432,1.07333850579601,0.0648517100890763,0.435461323445924,0.0582961153387663,0.339090792303656,0.0777063125726911
"correlated",0.048446919482736,1.07599488962573,0.0653108703187174,0.479525451935403,0.0549923140189501,0.378095001803133,0.074253218010786
"correlated",0.04439064791502,1.07939427630611,0.0658377924701865,0.519048210491883,0.0502759784828235,0.414374659325785,0.0687095312962997
"correlated",0.0406739921413883,1.08351272315537,0.06642135278772,0.557286013586002,0.0418296683417964,0.450033126300702,0.0666802760184241
"correlated",0.0372685174563073,1.08818484469534,0.0671662951946647,0.587778966813169,0.0373338277823661,0.477806215691643,0.0662095852811665
"correlated",0.0341481698812089,1.09353508136693,0.0679470819581135,0.619379291701163,0.0317840583242682,0.505022237384339,0.0639359950436786
"correlated",0.0312890768355088,1.09948389380783,0.0688837450729471,0.645649506936093,0.0283279596582651,0.52956412088185,0.0638701763669877
"correlated",0.0286693644966638,1.10620896733898,0.0700969427316962,0.669685148154982,0.0257439972880909,0.551418554006153,0.0624649667729566
"correlated",0.0262689904519582,1.11348936196935,0.071344895065991,0.694057923262064,0.0221519173984628,0.57409990164439,0.0612107934310156
"correlated",0.0240695903617038,1.12146251227977,0.0726781014062008,0.714586279711575,0.0198319060421166,0.595050565667989,0.0588298835872408
"correlated",0.0220543374607316,1.13014672071489,0.0739535081895794,0.733270639893628,0.0191333271633835,0.616571574147557,0.057602844929302
"correlated",0.020207813823276,1.13955166366735,0.0753357751137816,0.750395045509097,0.0168911013177095,0.636526694034999,0.0548978708755539
"correlated",0.0185158924063475,1.14974907715263,0.0767614727650718,0.765127393536632,0.0146314527739976,0.654730183756812,0.0547454982516374
"correlated",0.0169656289691538,1.16052522254772,0.0783893029008104,0.778801366192841,0.013637150145623,0.673404676861152,0.0537431073018945
"correlated",0.0155451630416861,1.17196827476879,0.0800244950180258,0.791466653985637,0.0129683266502429,0.691382940958363,0.0544718613170988
"correlated",0.0142436271848197,1.18412763239348,0.0816216697891812,0.803163019586813,0.0115782834384214,0.708577851901776,0.0523301731231186
"correlated",0.0130510638477118,1.19664556217165,0.0830656116748254,0.813534719178802,0.0101911758656598,0.725555109883933,0.0504063451025118
"correlated",0.0119583491864054,1.20969217204718,0.0845721706638932,0.822747732997311,0.00944613202324829,0.741235569240144,0.0497489841345204
"correlated",0.0109571232608041,1.22337174725945,0.0859387422275114,0.830605040789592,0.00841615823351777,0.755439030943145,0.0472592627320786
"correlated",0.0100397260759821,1.23734881012545,0.0873006965457394,0.838164585328034,0.00744232657297345,0.770238107110692,0.0465137561697886
"correlated",0.00919913897850576,1.2518006966076,0.0887768788090748,0.844337084332279,0.00691581000515926,0.782388881192135,0.044755471496611
"correlated",0.00842893095941227,1.26631753035942,0.0901925715007397,0.849925521150296,0.00632175232942254,0.793744879375078,0.0434798799543393
"correlated",0.00772320945303067,1.28119509185206,0.0915286969469593,0.854812889938373,0.00574259566201204,0.803904961284997,0.0419077413394452
"correlated",0.00707657525522565,1.29625994080206,0.0932973409186866,0.859514005431961,0.00538268099459549,0.813593455389834,0.0411018092107129
"correlated",0.00648408121616084,1.31133312822849,0.0948485356332344,0.86355330577699,0.0049782725457875,0.822123834944819,0.0399312880807888
"correlated",0.00594119439155589,1.32641642879002,0.0964107908155024,0.867247230725668,0.00466443669594085,0.829953164750935,0.0386691759074515
"correlated",0.00544376136287119,1.3414063941185,0.0983414653353717,0.870270779189288,0.00449243351542562,0.836330445434711,0.038028540678377
"correlated",0.00498797646109815,1.3561532769282,0.0998310484954784,0.873133530531484,0.0042316268659964,0.842380251475264,0.0371227317237015
"correlated",0.00457035265104768,1.37065891391147,0.101496391923617,0.875888413006123,0.00399187278183239,0.848188700075487,0.0364031656906568
"correlated",0.00418769485338345,1.38511292001879,0.103352627792976,0.878171125813575,0.00364247960916386,0.852959554152292,0.0361387867011646
"correlated",0.00383707550029739,1.39899593435005,0.104716504677777,0.880372561080499,0.0034640219677921,0.857559856325133,0.0359004012822186
"correlated",0.00351581213781297,1.41244450856967,0.106420757962068,0.882238525381171,0.00313767603077536,0.861507640504058,0.03528464070792
"correlated",0.00322144690336038,1.42546358168212,0.107915551491704,0.883916906991015,0.00286576296015842,0.865000817819997,0.0351524915430655
"correlated",0.00295172772161419,1.43826492946326,0.10912997630015,0.885453667896188,0.00272100246585901,0.868247629330044,0.0347294519355456
"correlated",0.00270459107473018,1.45064414610071,0.1106458868854,0.886712443273483,0.00268267401098559,0.870903346441426,0.0344323433255379
"correlated",0.00247814621516309,1.46248149532334,0.111895346084201,0.887969621437515,0.00262087614775888,0.873569743229779,0.0340495497247342
"correlated",0.00227066070028343,1.47412493920361,0.113168573880746,0.889152657196257,0.00237188103946649,0.876060429186807,0.0337392958560295
"correlated",0.00208054713812451,1.48556112511385,0.114437069396567,0.890168726401593,0.002125565729442,0.878214381349592,0.03337520706258
"correlated",0.00190635104285627,1.49676943804988,0.115616977309493,0.891168038086693,0.002063496218599,0.880317219806653,0.0331925325815991
"correlated",0.00174673970707301,1.50763298069532,0.116737460813447,0.8919190276645,0.00201310414268298,0.881932533860058,0.0327546065617659
"correlated",0.00160049200576095,1.51835476252655,0.117851318448086,0.892639088023079,0.0019755296492357,0.883455264846786,0.0325759077835311
