"scenario","rep","method","idx","lambda","cv_mse","true_fdr","est_fdr"
"correlated",3,"cv_1se",28,0.150986129966773,0.986770803256467,0,0
"correlated",3,"cvc_max_lambda",35,0.0818680165596217,0.926843062221914,0.2,0.0888888888888889
"correlated",4,"cv_min",38,0.0629781962783572,1.11311661684824,0.428571428571429,0.444444444444444
"correlated",4,"cv_1se",28,0.150986129966773,1.15341145165459,0,0
"correlated",4,"cvc_max_lambda",34,0.089348846947856,1.11441636660691,0.2,0.222222222222222
"correlated",5,"cv_min",39,0.0577052775937964,0.999228918667255,0.411764705882353,0.294117647058824
"correlated",5,"cv_1se",31,0.116148338850154,1.03701657199479,0.130434782608696,0.144927536231884
"correlated",5,"cvc_max_lambda",39,0.0577052775937964,0.999228918667255,0.411764705882353,0.294117647058824
"correlated",6,"cv_min",39,0.0577052775937964,1.05942671747163,0.375,0.243055555555556
"correlated",6,"cv_1se",32,0.106423691554815,1.09153314175185,0.166666666666667,0
"correlated",6,"cvc_max_lambda",35,0.0818680165596217,1.07230665456002,0.230769230769231,0.0427350427350427
"correlated",7,"cv_min",40,0.0528738398200432,0.982298368477096,0.428571428571429,0.412698412698413
"correlated",7,"cv_1se",28,0.150986129966773,1.06148045675407,0,0
"correlated",7,"cvc_max_lambda",36,0.0750135269156635,0.992322241977355,0.310344827586207,0.306513409961686
"correlated",8,"cv_min",36,0.0750135269156635,1.02630267177487,0.166666666666667,0.138888888888889
"correlated",8,"cv_1se",29,0.138344650330035,1.06946788726767,0,0
"correlated",8,"cvc_max_lambda",35,0.0818680165596217,1.02769715685732,0.166666666666667,0.138888888888889
"correlated",9,"cv_min",36,0.0750135269156635,0.962264336710326,0.0909090909090909,0
"correlated",9,"cv_1se",28,0.150986129966773,1.01665470772021,0,0
"correlated",9,"cvc_max_lambda",34,0.089348846947856,0.964950037681893,0,0
"correlated",10,"cv_min",38,0.0629781962783572,1.04223482901737,0.393939393939394,0.269360269360269
"correlated",10,"cv_1se",32,0.106423691554815,1.06658295145587,0.166666666666667,0.0925925925925926
"correlated",10,"cvc_max_lambda",34,0.089348846947856,1.05207388115705,0.230769230769231,0.128205128205128
"correlated",11,"cv_min",38,0.0629781962783572,1.06185698895561,0.354838709677419,0.17921146953405
"correlated",11,"cv_1se",28,0.150986129966773,1.11829172920975,0.0476190476190476,0.0529100529100529
"correlated",11,"cvc_max_lambda",33,0.0975132510398305,1.07015483279989,0.0476190476190476,0.0529100529100529
"correlated",12,"cv_min",36,0.0750135269156635,0.935609700181855,0.2,0.177777777777778
"correlated",12,"cv_1se",27,0.164782746481047,1.01168493387505,0,0
"correlated",12,"cvc_max_lambda",35,0.0818680165596217,0.936120102703815,0.2,0.177777777777778
"correlated",13,"cv_min",37,0.0687329369489366,1.06739021948456,0.230769230769231,0.128205128205128
"correlated",13,"cv_1se",28,0.150986129966773,1.11799822979156,0,0
"correlated",13,"cvc_max_lambda",32,0.106423691554815,1.08220737265407,0.0476190476190476,0.0529100529100529
"correlated",14,"cv_min",35,0.0818680165596217,1.0137136745117,0.130434782608696,0.0483091787439614
"correlated",14,"cv_1se",28,0.150986129966773,1.06095268832634,0,0
"correlated",14,"cvc_max_lambda",33,0.0975132510398305,1.01777365250384,0,0
"correlated",15,"cv_min",38,0.0629781962783572,1.05617951925021,0.5,0.5
"correlated",15,"cv_1se",28,0.150986129966773,1.11178389166138,0,0
"correlated",15,"cvc_max_lambda",36,0.0750135269156635,1.05840198956966,0.393939393939394,0.37037037037037
"correlated",16,"cv_min",39,0.0577052775937964,1.10589186791441,0.411764705882353,0.261437908496732
"correlated",16,"cv_1se",27,0.164782746481047,1.18200937343111,0,0
"correlated",16,"cvc_max_lambda",34,0.089348846947856,1.11575123385283,0.130434782608696,0.144927536231884
"correlated",17,"cv_min",40,0.0528738398200432,1.08934613632847,0.5,0.416666666666667
