"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","cvc",0.00457035265104768,1.52714246818194,0.888931703919781,0.879956598773676,0.888931703919781
"independent","cvc",0.00418769485338345,1.5395211738498,0.890003301312591,0.882194122219829,0.890003301312591
"independent","cvc",0.00383707550029739,1.55120556881877,0.890871288763378,0.883986217623434,0.890871288763378
"independent","cvc",0.00351581213781297,1.56250217531604,0.891704169629919,0.885684898389107,0.891704169629919
"independent","cvc",0.00322144690336038,1.57319814364549,0.89245216210366,0.887235889866643,0.89245216210366
"independent","cvc",0.00295172772161419,1.5834410707223,0.893076599596814,0.888557544169812,0.893076599596814
"independent","cvc",0.00270459107473018,1.59316011259773,0.893674869119408,0.889799163218989,0.893674869119408
"independent","cvc",0.00247814621516309,1.60234205884562,0.894205949127844,0.8909141802935,0.894205949127844
"independent","cvc",0.00227066070028343,1.61100571497657,0.894713781969315,0.891971136123808,0.894713781969315
"independent","cvc",0.00208054713812451,1.61914750002557,0.895178849515072,0.892938883818267,0.895178849515072
"independent","cvc",0.00190635104285627,1.62677346165827,0.895621430867732,0.893856734897765,0.895621430867732
"independent","cvc",0.00174673970707301,1.63390262138212,0.896010912866908,0.894649393936103,0.896010912866908
"independent","cvc",0.00160049200576095,1.64055452695861,0.896365133170187,0.895379632241288,0.896365133170187
"independent","ncv0",1.60049200576095,21.1149430495936,0,0,0
"independent","ncv0",1.46648905393987,21.0872072519887,0,0,0
"independent","ncv0",1.34370564650397,20.9704780826862,0,0,0
"independent","ncv0",1.23120241477144,20.6463347312258,0,0,0
"independent","ncv0",1.12811863973555,20.0245876838931,0,0,0
"independent","ncv0",1.03366566703415,19.0874609699942,0,0,0
"independent","ncv0",0.947120873258172,17.8356998643068,0,0,0
"independent","ncv0",0.867822137437488,16.3338333569617,0,0,0
"independent","ncv0",0.795162775407741,14.6541702880462,0,0,0
"independent","ncv0",0.728586898302864,12.892664794131,0,0,0
"independent","ncv0",0.66758515966292,11.1810261340565,0,0,0
"independent","ncv0",0.611690858620008,9.61439210500916,0,0,0
"independent","ncv0",0.560476369349204,8.25231420052197,0,0,0
"independent","ncv0",0.513549869467659,7.09739126060451,0,0,0
"independent","ncv0",0.470552342352066,6.1259064060612,0,0,0
"independent","ncv0",0.431154830440396,5.31014331524257,0,0,0
"independent","ncv0",0.395055918503962,4.62525671725526,0,0,0
"independent","ncv0",0.3619794276353,4.05025343718565,0,0,0
"independent","ncv0",0.33167230230944,3.56750775263825,0,0,0
"independent","ncv0",0.303902674353299,3.16223064082138,0,0,0
"independent","ncv0",0.278458089011369,2.82199741982279,0,0,0
"independent","ncv0",0.25514387953599,2.53638159571495,0,0,0
"independent","ncv0",0.233781677866854,2.29665595560564,0.000476190476190476,0.000529100529100529,0.000476190476190476
